,address,zip,county,bed,bath,sqft,lot_size,year_built,amenities,annual_taxes,annual_assoc_fee,schools,price,lat,long
497,"702 BRIGHTON PointAtlanta, GA 30328",30328,Fulton,2.0,2.0,1225.0,0.028,1978,4.0,1229,4836.0,2,265000,33.9570772,-84.3662062
498,"332 Oak DriveAtlanta, GA 30354",30354,Fulton,,,,0.4,1960,6.0,1140,0.0,2,265000,33.6684092,-84.3826033
499,"332 OakAtlanta, GA 30354",30354,Fulton,5.0,3.0,,0.4,1960,5.0,1140,0.0,2,265000,33.7645359,-84.3878084
500,"2870 Pharr Court South NW Unit: 1409Atlanta, GA 30305",30305,Fulton,1.0,1.0,807.0,0.019,1988,6.0,3527,5748.0,2,266000,33.8337828,-84.3855828
501,"2166 Martin Luther King Jr Drive SWAtlanta, GA 30310",30310,Fulton,3.0,1.5,,0.258,1959,,2266,0.0,2,266635,33.7513423,-84.4610405
502,"2166 Martin Luther King Jr Drive SWAtlanta, GA 30310",30310,Fulton,,,,0.258,1959,,2266,0.0,2,266635,33.7513423,-84.4610405
503,"711 Cosmopolitan  Unit: 103Atlanta, GA 30324",30324,Fulton,1.0,1.5,855.0,,2007,4.0,3772,4380.0,2,267000,33.8214347,-84.3626049
504,"3123 E Colonial Way  Unit: EAtlanta, GA 30341",30341,DeKalb,2.0,1.5,1024.0,0.065,1965,9.0,2092,4560.0,2,267500,33.8689829,-84.2819207
505,"1812 Glenview Drive SWAtlanta, GA 30331",30331,Fulton,8.0,2.0,2338.0,0.452,1960,1.0,1659,0.0,2,269000,33.7060332,-84.4993865
506,"5692 Westhill CircleAtlanta, GA 30349",30349,Fulton,3.0,1.5,1200.0,0.303,1964,3.0,2800,0.0,2,269000,33.6038002,-84.4824945
507,"74 Montre SquareAtlanta, GA 30327",30327,Fulton,2.0,2.0,1127.0,0.03,1968,3.0,1882,7275.0,2,269000,33.8182298,-84.4274389
508,"400 W Peachtree Street NW Unit: 2707Atlanta, GA 30308",30308,Fulton,1.0,1.0,730.0,0.017,2007,7.0,1883,4228.0,2,269000,33.7651344,-84.3881936
509,"1261 Lavista Rd Ne  Unit: H-1Atlanta, GA 30324",30324,DeKalb,2.0,1.5,1250.0,6.0,1966,6.0,114114,923.0,2,269000,33.8161589,-84.34747519999999
510,"1027 SMITHAtlanta, GA 30310",30310,Fulton,2.0,2.0,910.0,0.059,2023,,984,0.0,2,269900,33.7321902,-84.42251859999999
511,"1166 Virginia Avenue NE Unit: 5Atlanta, GA 30306",30306,Fulton,1.0,1.0,581.0,0.013,1920,6.0,1282,213.0,2,269900,33.7807898,-84.3490352
512,"568 Mcwilliams Road SEAtlanta, GA 30315",30315,Fulton,3.0,1.0,,0.247,1954,3.0,3843,0.0,2,269900,33.6890488,-84.37012039999999
